output_prefix	name	motif_id	cluster	total_tfbs	oRG_mean_score	oRG_bound	vRG_mean_score	vRG_bound	oRG_vRG_change	oRG_vRG_pvalue	oRG_vRG_highlighted
GATA1_HUMAN.H11MO.0.A_GATA1_HUMAN.H11MO.0.A	GATA1_HUMAN.H11MO.0.A	GATA1_HUMAN.H11MO.0.A	C_GATA2_HUMAN.H11MO.0.A	22668	0.10663	1899	0.10988	1910	-0.05036	6.97974E-87	False
GATA2_HUMAN.H11MO.0.A_GATA2_HUMAN.H11MO.0.A	GATA2_HUMAN.H11MO.0.A	GATA2_HUMAN.H11MO.0.A	C_GATA2_HUMAN.H11MO.0.A	25429	0.10672	2137	0.10988	2158	-0.04641	3.73613E-91	False
GATA3_HUMAN.H11MO.0.A_GATA3_HUMAN.H11MO.0.A	GATA3_HUMAN.H11MO.0.A	GATA3_HUMAN.H11MO.0.A	C_GATA3_HUMAN.H11MO.0.A	52382	0.09292	3505	0.09214	3420	0.01652	8.87624E-61	False
GATA4_HUMAN.H11MO.0.A_GATA4_HUMAN.H11MO.0.A	GATA4_HUMAN.H11MO.0.A	GATA4_HUMAN.H11MO.0.A	C_GATA3_HUMAN.H11MO.0.A	23368	0.08715	1366	0.09031	1398	-0.04902	1.63939E-92	False
GATA6_HUMAN.H11MO.0.A_GATA6_HUMAN.H11MO.0.A	GATA6_HUMAN.H11MO.0.A	GATA6_HUMAN.H11MO.0.A	C_GATA3_HUMAN.H11MO.0.A	24908	0.08587	1440	0.08748	1403	-0.01938	1.03188E-51	False
GCR_HUMAN.H11MO.0.A_GCR_HUMAN.H11MO.0.A	GCR_HUMAN.H11MO.0.A	GCR_HUMAN.H11MO.0.A	C_PRGR_HUMAN.H11MO.0.A	36515	0.1313	4240	0.13112	4184	-0.00189	2.11987E-05	False
GFI1B_HUMAN.H11MO.0.A_GFI1B_HUMAN.H11MO.0.A	GFI1B_HUMAN.H11MO.0.A	GFI1B_HUMAN.H11MO.0.A	C_GFI1B_HUMAN.H11MO.0.A	44138	0.12757	4783	0.12716	4650	0.00617	6.62937E-30	False
GFI1_HUMAN.H11MO.0.C_GFI1_HUMAN.H11MO.0.C	GFI1_HUMAN.H11MO.0.C	GFI1_HUMAN.H11MO.0.C	C_GFI1B_HUMAN.H11MO.0.A	41617	0.12799	4421	0.12749	4315	0.00718	1.77805E-26	False
GLI3_HUMAN.H11MO.0.B_GLI3_HUMAN.H11MO.0.B	GLI3_HUMAN.H11MO.0.B	GLI3_HUMAN.H11MO.0.B	C_GLI3_HUMAN.H11MO.0.B	36429	0.1586	5430	0.16457	5648	-0.07284	8.48520E-110	False
GRHL2_HUMAN.H11MO.0.A_GRHL2_HUMAN.H11MO.0.A	GRHL2_HUMAN.H11MO.0.A	GRHL2_HUMAN.H11MO.0.A	C_GRHL2_HUMAN.H11MO.0.A	22333	0.14245	2962	0.14392	2936	-0.0138	2.52602E-33	False
HEN1_HUMAN.H11MO.0.C_HEN1_HUMAN.H11MO.0.C	HEN1_HUMAN.H11MO.0.C	HEN1_HUMAN.H11MO.0.C	C_HEN1_HUMAN.H11MO.0.C	80320	0.22256	19710	0.23049	20357	-0.09432	5.98305E-145	False
HIC1_HUMAN.H11MO.0.C_HIC1_HUMAN.H11MO.0.C	HIC1_HUMAN.H11MO.0.C	HIC1_HUMAN.H11MO.0.C	C_HIC1_HUMAN.H11MO.0.C	32914	0.17909	5895	0.18414	6000	-0.05985	1.83258E-108	False
HIF1A_HUMAN.H11MO.0.C_HIF1A_HUMAN.H11MO.0.C	HIF1A_HUMAN.H11MO.0.C	HIF1A_HUMAN.H11MO.0.C	C_HIF1A_HUMAN.H11MO.0.C	7216	0.22222	1603	0.2324	1677	-0.10165	1.41142E-94	False
HINFP_HUMAN.H11MO.0.C_HINFP_HUMAN.H11MO.0.C	HINFP_HUMAN.H11MO.0.C	HINFP_HUMAN.H11MO.0.C	C_HINFP_HUMAN.H11MO.0.C	8535	0.26392	2378	0.27215	2494	-0.05644	4.30942E-79	False
HLF_HUMAN.H11MO.0.C_HLF_HUMAN.H11MO.0.C	HLF_HUMAN.H11MO.0.C	HLF_HUMAN.H11MO.0.C	C_HLF_HUMAN.H11MO.0.C	11821	0.14077	1403	0.14153	1379	0.00144	6.15118E-01	False
HNF1A_HUMAN.H11MO.0.C_HNF1A_HUMAN.H11MO.0.C	HNF1A_HUMAN.H11MO.0.C	HNF1A_HUMAN.H11MO.0.C	C_HNF1A_HUMAN.H11MO.0.C	36665	0.09623	2578	0.09182	2384	0.09312	1.87231E-127	True
HNF1B_HUMAN.H11MO.0.A_HNF1B_HUMAN.H11MO.0.A	HNF1B_HUMAN.H11MO.0.A	HNF1B_HUMAN.H11MO.0.A	C_HNF1A_HUMAN.H11MO.0.C	33805	0.09907	2550	0.09469	2349	0.08371	1.62920E-121	True
HNF4A_HUMAN.H11MO.0.A_HNF4A_HUMAN.H11MO.0.A	HNF4A_HUMAN.H11MO.0.A	HNF4A_HUMAN.H11MO.0.A	C_HNF4G_HUMAN.H11MO.0.B	37798	0.13638	4643	0.13651	4550	0.00552	2.74015E-18	False
HNF4G_HUMAN.H11MO.0.B_HNF4G_HUMAN.H11MO.0.B	HNF4G_HUMAN.H11MO.0.B	HNF4G_HUMAN.H11MO.0.B	C_HNF4G_HUMAN.H11MO.0.B	41801	0.14176	5390	0.14184	5304	0.01125	7.10362E-40	False
HNF6_HUMAN.H11MO.0.B_HNF6_HUMAN.H11MO.0.B	HNF6_HUMAN.H11MO.0.B	HNF6_HUMAN.H11MO.0.B	C_HNF6_HUMAN.H11MO.0.B	16510	0.10147	1227	0.09901	1144	0.03312	1.09877E-71	False
HSF1_HUMAN.H11MO.0.A_HSF1_HUMAN.H11MO.0.A	HSF1_HUMAN.H11MO.0.A	HSF1_HUMAN.H11MO.0.A	C_HSF1_HUMAN.H11MO.0.A	37366	0.13214	4377	0.13152	4291	0.02528	2.71477E-76	False
HSF2_HUMAN.H11MO.0.A_HSF2_HUMAN.H11MO.0.A	HSF2_HUMAN.H11MO.0.A	HSF2_HUMAN.H11MO.0.A	C_HSF1_HUMAN.H11MO.0.A	24287	0.12036	2479	0.1198	2392	0.02744	2.92184E-63	False
HTF4_HUMAN.H11MO.0.A_HTF4_HUMAN.H11MO.0.A	HTF4_HUMAN.H11MO.0.A	HTF4_HUMAN.H11MO.0.A	C_ASCL1_HUMAN.H11MO.0.A	75279	0.15127	11042	0.15962	11581	-0.1317	4.69739E-158	False
HXA10_HUMAN.H11MO.0.C_HXA10_HUMAN.H11MO.0.C	HXA10_HUMAN.H11MO.0.C	HXA10_HUMAN.H11MO.0.C	C_HXA10_HUMAN.H11MO.0.C	27000	0.09808	1968	0.09506	1847	0.05579	2.60230E-95	False
HXA13_HUMAN.H11MO.0.C_HXA13_HUMAN.H11MO.0.C	HXA13_HUMAN.H11MO.0.C	HXA13_HUMAN.H11MO.0.C	C_HXA13_HUMAN.H11MO.0.C	29145	0.10771	2465	0.10484	2317	0.05344	2.45197E-103	False
HXA1_HUMAN.H11MO.0.C_HXA1_HUMAN.H11MO.0.C	HXA1_HUMAN.H11MO.0.C	HXA1_HUMAN.H11MO.0.C	C_HXA1_HUMAN.H11MO.0.C	25932	0.11912	2628	0.11848	2552	-0.00906	5.05910E-28	False
HXA9_HUMAN.H11MO.0.B_HXA9_HUMAN.H11MO.0.B	HXA9_HUMAN.H11MO.0.B	HXA9_HUMAN.H11MO.0.B	C_MEIS1_HUMAN.H11MO.0.A	29326	0.0973	2091	0.09468	1973	0.04299	1.66814E-87	False
HXB13_HUMAN.H11MO.0.A_HXB13_HUMAN.H11MO.0.A	HXB13_HUMAN.H11MO.0.A	HXB13_HUMAN.H11MO.0.A	C_HXB13_HUMAN.H11MO.0.A	34212	0.10049	2577	0.09786	2356	0.05124	2.90009E-97	False
HXB4_HUMAN.H11MO.0.B_HXB4_HUMAN.H11MO.0.B	HXB4_HUMAN.H11MO.0.B	HXB4_HUMAN.H11MO.0.B	C_HXB4_HUMAN.H11MO.0.B	18014	0.13472	2158	0.13126	2073	0.0488	1.49901E-84	False
HXB7_HUMAN.H11MO.0.C_HXB7_HUMAN.H11MO.0.C	HXB7_HUMAN.H11MO.0.C	HXB7_HUMAN.H11MO.0.C	C_HXB7_HUMAN.H11MO.0.C	30511	0.1054	2470	0.10137	2283	0.0748	1.32413E-105	True
HXB8_HUMAN.H11MO.0.C_HXB8_HUMAN.H11MO.0.C	HXB8_HUMAN.H11MO.0.C	HXB8_HUMAN.H11MO.0.C	C_HXB7_HUMAN.H11MO.0.C	26562	0.10162	2030	0.09739	1862	0.07747	1.89281E-111	True
HXC9_HUMAN.H11MO.0.C_HXC9_HUMAN.H11MO.0.C	HXC9_HUMAN.H11MO.0.C	HXC9_HUMAN.H11MO.0.C	C_HXC9_HUMAN.H11MO.0.C	35992	0.11177	3287	0.10801	3075	0.0598	1.56567E-104	True
IKZF1_HUMAN.H11MO.0.C_IKZF1_HUMAN.H11MO.0.C	IKZF1_HUMAN.H11MO.0.C	IKZF1_HUMAN.H11MO.0.C	C_IKZF1_HUMAN.H11MO.0.C	77613	0.15646	11301	0.16058	11665	-0.04925	1.77088E-115	False
INSM1_HUMAN.H11MO.0.C_INSM1_HUMAN.H11MO.0.C	INSM1_HUMAN.H11MO.0.C	INSM1_HUMAN.H11MO.0.C	C_INSM1_HUMAN.H11MO.0.C	61965	0.21189	13472	0.21746	13816	-0.06091	3.68549E-115	False
IRF1_HUMAN.H11MO.0.A_IRF1_HUMAN.H11MO.0.A	IRF1_HUMAN.H11MO.0.A	IRF1_HUMAN.H11MO.0.A	C_IRF3_HUMAN.H11MO.0.B	129480	0.10788	11397	0.10529	10676	0.05579	2.06961E-132	False
IRF2_HUMAN.H11MO.0.A_IRF2_HUMAN.H11MO.0.A	IRF2_HUMAN.H11MO.0.A	IRF2_HUMAN.H11MO.0.A	C_IRF3_HUMAN.H11MO.0.B	105630	0.11327	9949	0.11108	9443	0.05108	1.00820E-120	False
IRF3_HUMAN.H11MO.0.B_IRF3_HUMAN.H11MO.0.B	IRF3_HUMAN.H11MO.0.B	IRF3_HUMAN.H11MO.0.B	C_IRF3_HUMAN.H11MO.0.B	178619	0.1295	20590	0.12977	20275	0.01153	1.03157E-68	False
IRF4_HUMAN.H11MO.0.A_IRF4_HUMAN.H11MO.0.A	IRF4_HUMAN.H11MO.0.A	IRF4_HUMAN.H11MO.0.A	C_IRF8_HUMAN.H11MO.0.B	89800	0.12998	10263	0.12909	10035	0.02529	3.32491E-91	False
IRF7_HUMAN.H11MO.0.C_IRF7_HUMAN.H11MO.0.C	IRF7_HUMAN.H11MO.0.C	IRF7_HUMAN.H11MO.0.C	C_IRF7_HUMAN.H11MO.0.C	60885	0.11131	5621	0.1088	5314	0.05265	3.22263E-111	False
IRF8_HUMAN.H11MO.0.B_IRF8_HUMAN.H11MO.0.B	IRF8_HUMAN.H11MO.0.B	IRF8_HUMAN.H11MO.0.B	C_IRF8_HUMAN.H11MO.0.B	99803	0.12474	10738	0.12317	10408	0.03724	9.19178E-121	False
IRF9_HUMAN.H11MO.0.C_IRF9_HUMAN.H11MO.0.C	IRF9_HUMAN.H11MO.0.C	IRF9_HUMAN.H11MO.0.C	C_IRF9_HUMAN.H11MO.0.C	49045	0.10802	4304	0.10513	4032	0.06295	7.66786E-112	True
ISL1_HUMAN.H11MO.0.A_ISL1_HUMAN.H11MO.0.A	ISL1_HUMAN.H11MO.0.A	ISL1_HUMAN.H11MO.0.A	C_ISL1_HUMAN.H11MO.0.A	25758	0.15204	3603	0.15031	3557	0.02185	4.07009E-58	False
ITF2_HUMAN.H11MO.0.C_ITF2_HUMAN.H11MO.0.C	ITF2_HUMAN.H11MO.0.C	ITF2_HUMAN.H11MO.0.C	C_ASCL1_HUMAN.H11MO.0.A	81268	0.15458	12428	0.16416	13233	-0.15768	1.91656E-166	True
JUNB_HUMAN.H11MO.0.A_JUNB_HUMAN.H11MO.0.A	JUNB_HUMAN.H11MO.0.A	JUNB_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	31984	0.12655	3634	0.13539	3892	-0.16089	9.10138E-152	True
JUND_HUMAN.H11MO.0.A_JUND_HUMAN.H11MO.0.A	JUND_HUMAN.H11MO.0.A	JUND_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	30057	0.1287	3435	0.13855	3725	-0.18333	1.45911E-152	True
JUN_HUMAN.H11MO.0.A_JUN_HUMAN.H11MO.0.A	JUN_HUMAN.H11MO.0.A	JUN_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	29613	0.12529	3256	0.13492	3521	-0.18232	3.60956E-152	True
KAISO_HUMAN.H11MO.0.A_KAISO_HUMAN.H11MO.0.A	KAISO_HUMAN.H11MO.0.A	KAISO_HUMAN.H11MO.0.A	C_KAISO_HUMAN.H11MO.0.A	17113	0.37309	6862	0.38385	7014	-0.06882	1.31286E-90	False
KLF12_HUMAN.H11MO.0.C_KLF12_HUMAN.H11MO.0.C	KLF12_HUMAN.H11MO.0.C	KLF12_HUMAN.H11MO.0.C	C_SP2_HUMAN.H11MO.0.A	139128	0.34597	49827	0.35721	51257	-0.10815	1.01286E-160	False
KLF15_HUMAN.H11MO.0.A_KLF15_HUMAN.H11MO.0.A	KLF15_HUMAN.H11MO.0.A	KLF15_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	254265	0.25334	67705	0.2618	69766	-0.08758	1.55663E-166	True
KLF1_HUMAN.H11MO.0.A_KLF1_HUMAN.H11MO.0.A	KLF1_HUMAN.H11MO.0.A	KLF1_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	155474	0.30667	49620	0.31752	51313	-0.11811	3.12037E-164	True
KLF3_HUMAN.H11MO.0.B_KLF3_HUMAN.H11MO.0.B	KLF3_HUMAN.H11MO.0.B	KLF3_HUMAN.H11MO.0.B	C_SP2_HUMAN.H11MO.0.A	199037	0.30882	65262	0.31935	67357	-0.10777	1.66201E-165	True
KLF4_HUMAN.H11MO.0.A_KLF4_HUMAN.H11MO.0.A	KLF4_HUMAN.H11MO.0.A	KLF4_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	91296	0.32829	30142	0.34054	31164	-0.13408	1.92667E-154	False
KLF5_HUMAN.H11MO.0.A_KLF5_HUMAN.H11MO.0.A	KLF5_HUMAN.H11MO.0.A	KLF5_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	154821	0.27088	43088	0.28114	44699	-0.11632	8.52414E-169	True
KLF6_HUMAN.H11MO.0.A_KLF6_HUMAN.H11MO.0.A	KLF6_HUMAN.H11MO.0.A	KLF6_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	237162	0.27374	68751	0.28294	71013	-0.09443	3.92843E-165	True
KLF8_HUMAN.H11MO.0.C_KLF8_HUMAN.H11MO.0.C	KLF8_HUMAN.H11MO.0.C	KLF8_HUMAN.H11MO.0.C	C_KLF8_HUMAN.H11MO.0.C	44778	0.20484	9274	0.20955	9557	-0.06335	2.90151E-117	False
KLF9_HUMAN.H11MO.0.C_KLF9_HUMAN.H11MO.0.C	KLF9_HUMAN.H11MO.0.C	KLF9_HUMAN.H11MO.0.C	C_SP2_HUMAN.H11MO.0.A	123583	0.34056	43917	0.35146	45147	-0.11022	2.37673E-162	False
LEF1_HUMAN.H11MO.0.A_LEF1_HUMAN.H11MO.0.A	LEF1_HUMAN.H11MO.0.A	LEF1_HUMAN.H11MO.0.A	C_LEF1_HUMAN.H11MO.0.A	88709	0.12828	9960	0.1265	9752	0.02667	4.22856E-90	False
LHX2_HUMAN.H11MO.0.A_LHX2_HUMAN.H11MO.0.A	LHX2_HUMAN.H11MO.0.A	LHX2_HUMAN.H11MO.0.A	C_LHX2_HUMAN.H11MO.0.A	39134	0.14944	5414	0.14052	5032	0.12746	2.95979E-143	True
LHX3_HUMAN.H11MO.0.C_LHX3_HUMAN.H11MO.0.C	LHX3_HUMAN.H11MO.0.C	LHX3_HUMAN.H11MO.0.C	C_LHX3_HUMAN.H11MO.0.C	40722	0.11099	3681	0.10313	3304	0.13564	1.25848E-144	True
LYL1_HUMAN.H11MO.0.A_LYL1_HUMAN.H11MO.0.A	LYL1_HUMAN.H11MO.0.A	LYL1_HUMAN.H11MO.0.A	C_LYL1_HUMAN.H11MO.0.A	94690	0.15339	14104	0.15974	14737	-0.10094	2.32735E-148	False
MAFB_HUMAN.H11MO.0.B_MAFB_HUMAN.H11MO.0.B	MAFB_HUMAN.H11MO.0.B	MAFB_HUMAN.H11MO.0.B	C_MAFB_HUMAN.H11MO.0.B	44774	0.13982	5740	0.14057	5801	-0.01773	1.56345E-62	False
MAFF_HUMAN.H11MO.0.B_MAFF_HUMAN.H11MO.0.B	MAFF_HUMAN.H11MO.0.B	MAFF_HUMAN.H11MO.0.B	C_MAFF_HUMAN.H11MO.0.B	46479	0.12703	5271	0.12823	5302	-0.0178	1.44103E-59	False
MAFG_HUMAN.H11MO.0.A_MAFG_HUMAN.H11MO.0.A	MAFG_HUMAN.H11MO.0.A	MAFG_HUMAN.H11MO.0.A	C_MAFK_HUMAN.H11MO.0.A	31928	0.13575	3989	0.13707	3988	-0.02016	8.23461E-64	False
MAFK_HUMAN.H11MO.0.A_MAFK_HUMAN.H11MO.0.A	MAFK_HUMAN.H11MO.0.A	MAFK_HUMAN.H11MO.0.A	C_MAFK_HUMAN.H11MO.0.A	34634	0.12437	3756	0.12521	3754	-0.01477	1.55918E-49	False
MAF_HUMAN.H11MO.0.A_MAF_HUMAN.H11MO.0.A	MAF_HUMAN.H11MO.0.A	MAF_HUMAN.H11MO.0.A	C_MAFK_HUMAN.H11MO.0.A	47818	0.13136	5649	0.13187	5562	-0.0084	3.51366E-40	False
MAX_HUMAN.H11MO.0.A_MAX_HUMAN.H11MO.0.A	MAX_HUMAN.H11MO.0.A	MAX_HUMAN.H11MO.0.A	C_MAX_HUMAN.H11MO.0.A	25285	0.20524	5322	0.21414	5492	-0.10547	2.22710E-122	False
MAZ_HUMAN.H11MO.0.A_MAZ_HUMAN.H11MO.0.A	MAZ_HUMAN.H11MO.0.A	MAZ_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	279836	0.22914	66912	0.23671	69025	-0.08096	1.32348E-161	False
MBD2_HUMAN.H11MO.0.B_MBD2_HUMAN.H11MO.0.B	MBD2_HUMAN.H11MO.0.B	MBD2_HUMAN.H11MO.0.B	C_MBD2_HUMAN.H11MO.0.B	50745	0.32983	19597	0.3366	19933	-0.04876	1.43492E-100	False
MECP2_HUMAN.H11MO.0.C_MECP2_HUMAN.H11MO.0.C	MECP2_HUMAN.H11MO.0.C	MECP2_HUMAN.H11MO.0.C	C_MECP2_HUMAN.H11MO.0.C	42133	0.26679	12711	0.27348	13064	-0.06915	1.34862E-115	False
MEF2A_HUMAN.H11MO.0.A_MEF2A_HUMAN.H11MO.0.A	MEF2A_HUMAN.H11MO.0.A	MEF2A_HUMAN.H11MO.0.A	C_MEF2B_HUMAN.H11MO.0.A	55721	0.09283	3782	0.0912	3563	0.03102	8.72756E-92	False
MEF2B_HUMAN.H11MO.0.A_MEF2B_HUMAN.H11MO.0.A	MEF2B_HUMAN.H11MO.0.A	MEF2B_HUMAN.H11MO.0.A	C_MEF2B_HUMAN.H11MO.0.A	56054	0.09613	4056	0.09444	3827	0.0336	1.99339E-93	False
MEF2C_HUMAN.H11MO.0.A_MEF2C_HUMAN.H11MO.0.A	MEF2C_HUMAN.H11MO.0.A	MEF2C_HUMAN.H11MO.0.A	C_MEF2B_HUMAN.H11MO.0.A	54808	0.09275	3708	0.09103	3493	0.03617	1.81207E-98	False
MEF2D_HUMAN.H11MO.0.A_MEF2D_HUMAN.H11MO.0.A	MEF2D_HUMAN.H11MO.0.A	MEF2D_HUMAN.H11MO.0.A	C_MEF2B_HUMAN.H11MO.0.A	46403	0.09457	3226	0.0926	3034	0.0357	3.28958E-88	False
MEIS1_HUMAN.H11MO.0.A_MEIS1_HUMAN.H11MO.0.A	MEIS1_HUMAN.H11MO.0.A	MEIS1_HUMAN.H11MO.0.A	C_MEIS1_HUMAN.H11MO.0.A	25477	0.10304	1999	0.1009	1887	0.03095	9.75004E-72	False
MEIS2_HUMAN.H11MO.0.B_MEIS2_HUMAN.H11MO.0.B	MEIS2_HUMAN.H11MO.0.B	MEIS2_HUMAN.H11MO.0.B	C_MEIS2_HUMAN.H11MO.0.B	33344	0.11697	3246	0.11861	3204	-0.04938	2.53710E-93	False
MITF_HUMAN.H11MO.0.A_MITF_HUMAN.H11MO.0.A	MITF_HUMAN.H11MO.0.A	MITF_HUMAN.H11MO.0.A	C_USF2_HUMAN.H11MO.0.A	19126	0.2125	3705	0.21797	3750	-0.05388	2.79921E-86	False
MTF1_HUMAN.H11MO.0.C_MTF1_HUMAN.H11MO.0.C	MTF1_HUMAN.H11MO.0.C	MTF1_HUMAN.H11MO.0.C	C_MTF1_HUMAN.H11MO.0.C	24848	0.21494	5621	0.21991	5721	-0.04381	9.64976E-89	False
MXI1_HUMAN.H11MO.0.A_MXI1_HUMAN.H11MO.0.A	MXI1_HUMAN.H11MO.0.A	MXI1_HUMAN.H11MO.0.A	C_MXI1_HUMAN.H11MO.0.A	41764	0.23814	10508	0.24742	10819	-0.11102	6.22143E-142	False
MYB_HUMAN.H11MO.0.A_MYB_HUMAN.H11MO.0.A	MYB_HUMAN.H11MO.0.A	MYB_HUMAN.H11MO.0.A	C_MYB_HUMAN.H11MO.0.A	34092	0.15761	5263	0.16115	5295	-0.05653	3.63337E-106	False
MYCN_HUMAN.H11MO.0.A_MYCN_HUMAN.H11MO.0.A	MYCN_HUMAN.H11MO.0.A	MYCN_HUMAN.H11MO.0.A	C_MYCN_HUMAN.H11MO.0.A	24286	0.24203	6111	0.25081	6263	-0.09401	3.85838E-114	False
MYC_HUMAN.H11MO.0.A_MYC_HUMAN.H11MO.0.A	MYC_HUMAN.H11MO.0.A	MYC_HUMAN.H11MO.0.A	C_MAX_HUMAN.H11MO.0.A	24941	0.18401	4534	0.19184	4647	-0.10397	2.96578E-121	False
MYF6_HUMAN.H11MO.0.C_MYF6_HUMAN.H11MO.0.C	MYF6_HUMAN.H11MO.0.C	MYF6_HUMAN.H11MO.0.C	C_ASCL1_HUMAN.H11MO.0.A	62256	0.15524	9614	0.1657	10299	-0.17075	2.04294E-168	True
MYOD1_HUMAN.H11MO.0.A_MYOD1_HUMAN.H11MO.0.A	MYOD1_HUMAN.H11MO.0.A	MYOD1_HUMAN.H11MO.0.A	C_ASCL1_HUMAN.H11MO.0.A	70721	0.16649	11982	0.17677	12707	-0.16834	3.22859E-169	True
MYOG_HUMAN.H11MO.0.B_MYOG_HUMAN.H11MO.0.B	MYOG_HUMAN.H11MO.0.B	MYOG_HUMAN.H11MO.0.B	C_ASCL1_HUMAN.H11MO.0.A	66539	0.16105	10729	0.17174	11480	-0.17255	4.89034E-168	True
MZF1_HUMAN.H11MO.0.B_MZF1_HUMAN.H11MO.0.B	MZF1_HUMAN.H11MO.0.B	MZF1_HUMAN.H11MO.0.B	C_MZF1_HUMAN.H11MO.0.B	77012	0.17669	13442	0.18261	13921	-0.0713	1.14526E-130	False
NANOG_HUMAN.H11MO.0.A_NANOG_HUMAN.H11MO.0.A	NANOG_HUMAN.H11MO.0.A	NANOG_HUMAN.H11MO.0.A	C_NANOG_HUMAN.H11MO.0.A	62739	0.12104	6401	0.11705	5983	0.04927	2.02684E-106	False
NDF1_HUMAN.H11MO.0.A_NDF1_HUMAN.H11MO.0.A	NDF1_HUMAN.H11MO.0.A	NDF1_HUMAN.H11MO.0.A	C_BHA15_HUMAN.H11MO.0.B	56548	0.14038	7748	0.15287	8500	-0.22135	3.81220E-171	True
NDF2_HUMAN.H11MO.0.B_NDF2_HUMAN.H11MO.0.B	NDF2_HUMAN.H11MO.0.B	NDF2_HUMAN.H11MO.0.B	C_BHA15_HUMAN.H11MO.0.B	66182	0.14938	9688	0.16153	10516	-0.20744	2.57913E-176	True
NF2L1_HUMAN.H11MO.0.C_NF2L1_HUMAN.H11MO.0.C	NF2L1_HUMAN.H11MO.0.C	NF2L1_HUMAN.H11MO.0.C	C_NF2L1_HUMAN.H11MO.0.C	14809	0.11605	1434	0.1179	1434	-0.05148	8.42548E-85	False
NF2L2_HUMAN.H11MO.0.A_NF2L2_HUMAN.H11MO.0.A	NF2L2_HUMAN.H11MO.0.A	NF2L2_HUMAN.H11MO.0.A	C_BACH2_HUMAN.H11MO.0.A	34514	0.12744	3828	0.13081	3949	-0.06171	3.23342E-110	False
NFAC1_HUMAN.H11MO.0.B_NFAC1_HUMAN.H11MO.0.B	NFAC1_HUMAN.H11MO.0.B	NFAC1_HUMAN.H11MO.0.B	C_NFAC1_HUMAN.H11MO.0.B	123706	0.11337	11654	0.11177	11263	0.03146	4.94159E-107	False
NFAC2_HUMAN.H11MO.0.B_NFAC2_HUMAN.H11MO.0.B	NFAC2_HUMAN.H11MO.0.B	NFAC2_HUMAN.H11MO.0.B	C_NFAC2_HUMAN.H11MO.0.B	67382	0.10763	5954	0.10571	5604	0.03813	4.94806E-103	False
NFAC3_HUMAN.H11MO.0.B_NFAC3_HUMAN.H11MO.0.B	NFAC3_HUMAN.H11MO.0.B	NFAC3_HUMAN.H11MO.0.B	C_NFAC2_HUMAN.H11MO.0.B	51407	0.11758	5191	0.11624	4957	0.02954	1.20511E-86	False
NFAC4_HUMAN.H11MO.0.C_NFAC4_HUMAN.H11MO.0.C	NFAC4_HUMAN.H11MO.0.C	NFAC4_HUMAN.H11MO.0.C	C_NFAC4_HUMAN.H11MO.0.C	61683	0.11065	5613	0.10821	5311	0.05313	4.19406E-115	False
NFE2_HUMAN.H11MO.0.A_NFE2_HUMAN.H11MO.0.A	NFE2_HUMAN.H11MO.0.A	NFE2_HUMAN.H11MO.0.A	C_BACH2_HUMAN.H11MO.0.A	34388	0.14663	4657	0.1517	4837	-0.08082	6.14357E-116	False
NFIA_HUMAN.H11MO.0.C_NFIA_HUMAN.H11MO.0.C	NFIA_HUMAN.H11MO.0.C	NFIA_HUMAN.H11MO.0.C	C_NFIC_HUMAN.H11MO.0.A	61733	0.18654	11638	0.1884	11739	-0.04042	6.35904E-103	False
NFIC_HUMAN.H11MO.0.A_NFIC_HUMAN.H11MO.0.A	NFIC_HUMAN.H11MO.0.A	NFIC_HUMAN.H11MO.0.A	C_NFIC_HUMAN.H11MO.0.A	104282	0.19493	21185	0.19764	21412	-0.04958	1.29796E-122	False
NFKB1_HUMAN.H11MO.1.B_NFKB1_HUMAN.H11MO.1.B	NFKB1_HUMAN.H11MO.1.B	NFKB1_HUMAN.H11MO.1.B	C_NFKB1_HUMAN.H11MO.1.B	42368	0.16894	6986	0.17266	7106	-0.04723	4.44728E-100	False
NFKB2_HUMAN.H11MO.0.B_NFKB2_HUMAN.H11MO.0.B	NFKB2_HUMAN.H11MO.0.B	NFKB2_HUMAN.H11MO.0.B	C_NFKB1_HUMAN.H11MO.1.B	46591	0.16543	7525	0.16912	7641	-0.05134	1.43470E-104	False
NFYA_HUMAN.H11MO.0.A_NFYA_HUMAN.H11MO.0.A	NFYA_HUMAN.H11MO.0.A	NFYA_HUMAN.H11MO.0.A	C_NFYC_HUMAN.H11MO.0.A	24938	0.37147	7416	0.38094	7395	-0.05426	1.16155E-98	False
NFYB_HUMAN.H11MO.0.A_NFYB_HUMAN.H11MO.0.A	NFYB_HUMAN.H11MO.0.A	NFYB_HUMAN.H11MO.0.A	C_NFYC_HUMAN.H11MO.0.A	24520	0.38891	7789	0.39921	7818	-0.06216	4.32790E-103	False
