output_prefix	name	motif_id	cluster	total_tfbs	MG_mean_score	MG_bound	OPC_mean_score	OPC_bound	MG_OPC_change	MG_OPC_pvalue	MG_OPC_highlighted
GATA1_HUMAN.H11MO.0.A_GATA1_HUMAN.H11MO.0.A	GATA1_HUMAN.H11MO.0.A	GATA1_HUMAN.H11MO.0.A	C_GATA2_HUMAN.H11MO.0.A	31788	0.08883	1830	0.08618	1624	0.08518	6.14477E-122	False
GATA2_HUMAN.H11MO.0.A_GATA2_HUMAN.H11MO.0.A	GATA2_HUMAN.H11MO.0.A	GATA2_HUMAN.H11MO.0.A	C_GATA2_HUMAN.H11MO.0.A	35749	0.08699	1997	0.08411	1755	0.09324	2.73068E-131	False
GATA3_HUMAN.H11MO.0.A_GATA3_HUMAN.H11MO.0.A	GATA3_HUMAN.H11MO.0.A	GATA3_HUMAN.H11MO.0.A	C_GATA3_HUMAN.H11MO.0.A	71880	0.07249	3024	0.06994	2529	0.08613	5.49235E-141	False
GATA4_HUMAN.H11MO.0.A_GATA4_HUMAN.H11MO.0.A	GATA4_HUMAN.H11MO.0.A	GATA4_HUMAN.H11MO.0.A	C_GATA3_HUMAN.H11MO.0.A	32945	0.07899	1558	0.07021	1147	0.11965	2.13871E-134	False
GATA6_HUMAN.H11MO.0.A_GATA6_HUMAN.H11MO.0.A	GATA6_HUMAN.H11MO.0.A	GATA6_HUMAN.H11MO.0.A	C_GATA3_HUMAN.H11MO.0.A	35000	0.0763	1588	0.06675	1094	0.12743	1.18917E-141	False
GCR_HUMAN.H11MO.0.A_GCR_HUMAN.H11MO.0.A	GCR_HUMAN.H11MO.0.A	GCR_HUMAN.H11MO.0.A	C_PRGR_HUMAN.H11MO.0.A	48872	0.09614	3413	0.10574	3545	0.00619	1.69306E-26	False
GFI1B_HUMAN.H11MO.0.A_GFI1B_HUMAN.H11MO.0.A	GFI1B_HUMAN.H11MO.0.A	GFI1B_HUMAN.H11MO.0.A	C_GFI1B_HUMAN.H11MO.0.A	55301	0.09262	3441	0.1	3429	0.0179	4.15204E-72	False
GFI1_HUMAN.H11MO.0.C_GFI1_HUMAN.H11MO.0.C	GFI1_HUMAN.H11MO.0.C	GFI1_HUMAN.H11MO.0.C	C_GFI1B_HUMAN.H11MO.0.A	51139	0.08861	2926	0.10116	3118	-0.01094	2.75540E-47	False
GLI3_HUMAN.H11MO.0.B_GLI3_HUMAN.H11MO.0.B	GLI3_HUMAN.H11MO.0.B	GLI3_HUMAN.H11MO.0.B	C_GLI3_HUMAN.H11MO.0.B	46237	0.124	4340	0.1341	4595	0.02444	6.86449E-76	False
GRHL2_HUMAN.H11MO.0.A_GRHL2_HUMAN.H11MO.0.A	GRHL2_HUMAN.H11MO.0.A	GRHL2_HUMAN.H11MO.0.A	C_GRHL2_HUMAN.H11MO.0.A	28675	0.10959	2301	0.10532	2110	0.10417	7.67977E-123	False
HEN1_HUMAN.H11MO.0.C_HEN1_HUMAN.H11MO.0.C	HEN1_HUMAN.H11MO.0.C	HEN1_HUMAN.H11MO.0.C	C_HEN1_HUMAN.H11MO.0.C	98190	0.17296	14770	0.22186	19663	-0.14961	1.52654E-166	False
HIC1_HUMAN.H11MO.0.C_HIC1_HUMAN.H11MO.0.C	HIC1_HUMAN.H11MO.0.C	HIC1_HUMAN.H11MO.0.C	C_HIC1_HUMAN.H11MO.0.C	39094	0.13516	4127	0.1589	4996	-0.02763	8.75700E-72	False
HIF1A_HUMAN.H11MO.0.C_HIF1A_HUMAN.H11MO.0.C	HIF1A_HUMAN.H11MO.0.C	HIF1A_HUMAN.H11MO.0.C	C_HIF1A_HUMAN.H11MO.0.C	9410	0.19407	1411	0.21569	1632	-0.0475	1.58397E-73	False
HINFP_HUMAN.H11MO.0.C_HINFP_HUMAN.H11MO.0.C	HINFP_HUMAN.H11MO.0.C	HINFP_HUMAN.H11MO.0.C	C_HINFP_HUMAN.H11MO.0.C	9375	0.25098	1943	0.26811	2165	0.01929	2.83489E-34	False
HLF_HUMAN.H11MO.0.C_HLF_HUMAN.H11MO.0.C	HLF_HUMAN.H11MO.0.C	HLF_HUMAN.H11MO.0.C	C_HLF_HUMAN.H11MO.0.C	15640	0.12472	1483	0.09905	992	0.19242	2.12658E-144	False
HNF1A_HUMAN.H11MO.0.C_HNF1A_HUMAN.H11MO.0.C	HNF1A_HUMAN.H11MO.0.C	HNF1A_HUMAN.H11MO.0.C	C_HNF1A_HUMAN.H11MO.0.C	42483	0.05953	1193	0.07045	1320	-0.01621	2.43703E-57	False
HNF1B_HUMAN.H11MO.0.A_HNF1B_HUMAN.H11MO.0.A	HNF1B_HUMAN.H11MO.0.A	HNF1B_HUMAN.H11MO.0.A	C_HNF1A_HUMAN.H11MO.0.C	38715	0.05834	1087	0.07283	1286	-0.04453	3.29666E-92	False
HNF4A_HUMAN.H11MO.0.A_HNF4A_HUMAN.H11MO.0.A	HNF4A_HUMAN.H11MO.0.A	HNF4A_HUMAN.H11MO.0.A	C_HNF4G_HUMAN.H11MO.0.B	48918	0.11012	3925	0.10926	3716	0.07619	2.37524E-124	False
HNF4G_HUMAN.H11MO.0.B_HNF4G_HUMAN.H11MO.0.B	HNF4G_HUMAN.H11MO.0.B	HNF4G_HUMAN.H11MO.0.B	C_HNF4G_HUMAN.H11MO.0.B	53868	0.11302	4526	0.11283	4253	0.06939	2.89128E-117	False
HNF6_HUMAN.H11MO.0.B_HNF6_HUMAN.H11MO.0.B	HNF6_HUMAN.H11MO.0.B	HNF6_HUMAN.H11MO.0.B	C_HNF6_HUMAN.H11MO.0.B	19198	0.0573	522	0.08793	922	-0.1333	3.80522E-128	False
HSF1_HUMAN.H11MO.0.A_HSF1_HUMAN.H11MO.0.A	HSF1_HUMAN.H11MO.0.A	HSF1_HUMAN.H11MO.0.A	C_HSF1_HUMAN.H11MO.0.A	49156	0.10558	3755	0.10122	3279	0.09716	1.45595E-134	False
HSF2_HUMAN.H11MO.0.A_HSF2_HUMAN.H11MO.0.A	HSF2_HUMAN.H11MO.0.A	HSF2_HUMAN.H11MO.0.A	C_HSF1_HUMAN.H11MO.0.A	31899	0.09758	2159	0.09037	1770	0.1078	9.00514E-130	False
HTF4_HUMAN.H11MO.0.A_HTF4_HUMAN.H11MO.0.A	HTF4_HUMAN.H11MO.0.A	HTF4_HUMAN.H11MO.0.A	C_HTF4_HUMAN.H11MO.0.A	107284	0.10525	8673	0.14372	12104	-0.1371	3.34653E-167	False
HXA10_HUMAN.H11MO.0.C_HXA10_HUMAN.H11MO.0.C	HXA10_HUMAN.H11MO.0.C	HXA10_HUMAN.H11MO.0.C	C_HXA10_HUMAN.H11MO.0.C	33497	0.058	952	0.07398	1215	-0.04623	2.07371E-98	False
HXA13_HUMAN.H11MO.0.C_HXA13_HUMAN.H11MO.0.C	HXA13_HUMAN.H11MO.0.C	HXA13_HUMAN.H11MO.0.C	C_HXA13_HUMAN.H11MO.0.C	33889	0.06686	1183	0.07886	1312	-0.01008	1.07714E-34	False
HXA1_HUMAN.H11MO.0.C_HXA1_HUMAN.H11MO.0.C	HXA1_HUMAN.H11MO.0.C	HXA1_HUMAN.H11MO.0.C	C_HXA1_HUMAN.H11MO.0.C	31373	0.06949	1307	0.09555	1874	-0.09389	1.48301E-126	False
HXA9_HUMAN.H11MO.0.B_HXA9_HUMAN.H11MO.0.B	HXA9_HUMAN.H11MO.0.B	HXA9_HUMAN.H11MO.0.B	C_MEIS1_HUMAN.H11MO.0.A	34955	0.06053	1064	0.07643	1345	-0.05411	1.62288E-106	False
HXB13_HUMAN.H11MO.0.A_HXB13_HUMAN.H11MO.0.A	HXB13_HUMAN.H11MO.0.A	HXB13_HUMAN.H11MO.0.A	C_HXB13_HUMAN.H11MO.0.A	42960	0.06902	1625	0.07664	1590	0.01115	3.53041E-43	False
HXB4_HUMAN.H11MO.0.B_HXB4_HUMAN.H11MO.0.B	HXB4_HUMAN.H11MO.0.B	HXB4_HUMAN.H11MO.0.B	C_HXB4_HUMAN.H11MO.0.B	23953	0.07367	1152	0.09737	1463	-0.08935	1.71263E-114	False
HXB7_HUMAN.H11MO.0.C_HXB7_HUMAN.H11MO.0.C	HXB7_HUMAN.H11MO.0.C	HXB7_HUMAN.H11MO.0.C	C_HXB7_HUMAN.H11MO.0.C	32076	0.0572	880	0.07983	1256	-0.10122	1.15445E-123	False
HXB8_HUMAN.H11MO.0.C_HXB8_HUMAN.H11MO.0.C	HXB8_HUMAN.H11MO.0.C	HXB8_HUMAN.H11MO.0.C	C_HXB7_HUMAN.H11MO.0.C	29429	0.05064	647	0.07684	1069	-0.12925	2.58097E-139	False
HXC9_HUMAN.H11MO.0.C_HXC9_HUMAN.H11MO.0.C	HXC9_HUMAN.H11MO.0.C	HXC9_HUMAN.H11MO.0.C	C_HXC9_HUMAN.H11MO.0.C	41187	0.06504	1482	0.08305	1850	-0.06098	4.50965E-113	False
IKZF1_HUMAN.H11MO.0.C_IKZF1_HUMAN.H11MO.0.C	IKZF1_HUMAN.H11MO.0.C	IKZF1_HUMAN.H11MO.0.C	C_IKZF1_HUMAN.H11MO.0.C	122043	0.11568	10115	0.12489	11065	0.05923	8.04921E-132	False
INSM1_HUMAN.H11MO.0.C_INSM1_HUMAN.H11MO.0.C	INSM1_HUMAN.H11MO.0.C	INSM1_HUMAN.H11MO.0.C	C_INSM1_HUMAN.H11MO.0.C	73614	0.16901	10162	0.20318	12486	-0.0728	3.82618E-128	False
IRF1_HUMAN.H11MO.0.A_IRF1_HUMAN.H11MO.0.A	IRF1_HUMAN.H11MO.0.A	IRF1_HUMAN.H11MO.0.A	C_IRF3_HUMAN.H11MO.0.B	185315	0.10545	14913	0.07044	7404	0.2529	3.79732E-204	True
IRF2_HUMAN.H11MO.0.A_IRF2_HUMAN.H11MO.0.A	IRF2_HUMAN.H11MO.0.A	IRF2_HUMAN.H11MO.0.A	C_IRF3_HUMAN.H11MO.0.B	154020	0.11301	13639	0.07374	6751	0.27335	2.03986E-202	True
IRF3_HUMAN.H11MO.0.B_IRF3_HUMAN.H11MO.0.B	IRF3_HUMAN.H11MO.0.B	IRF3_HUMAN.H11MO.0.B	C_IRF3_HUMAN.H11MO.0.B	255394	0.11431	22647	0.09112	15712	0.20166	3.12584E-205	True
IRF4_HUMAN.H11MO.0.A_IRF4_HUMAN.H11MO.0.A	IRF4_HUMAN.H11MO.0.A	IRF4_HUMAN.H11MO.0.A	C_IRF8_HUMAN.H11MO.0.B	148439	0.14582	18399	0.07896	7628	0.40875	5.77487E-216	True
IRF7_HUMAN.H11MO.0.C_IRF7_HUMAN.H11MO.0.C	IRF7_HUMAN.H11MO.0.C	IRF7_HUMAN.H11MO.0.C	C_IRF7_HUMAN.H11MO.0.C	80010	0.09107	5160	0.08046	3738	0.11214	2.77133E-150	False
IRF8_HUMAN.H11MO.0.B_IRF8_HUMAN.H11MO.0.B	IRF8_HUMAN.H11MO.0.B	IRF8_HUMAN.H11MO.0.B	C_IRF8_HUMAN.H11MO.0.B	159610	0.13778	18440	0.07657	7710	0.38073	4.65997E-218	True
IRF9_HUMAN.H11MO.0.C_IRF9_HUMAN.H11MO.0.C	IRF9_HUMAN.H11MO.0.C	IRF9_HUMAN.H11MO.0.C	C_IRF9_HUMAN.H11MO.0.C	65190	0.09904	4870	0.07404	2748	0.19102	8.77491E-166	False
ISL1_HUMAN.H11MO.0.A_ISL1_HUMAN.H11MO.0.A	ISL1_HUMAN.H11MO.0.A	ISL1_HUMAN.H11MO.0.A	C_ISL1_HUMAN.H11MO.0.A	28190	0.08768	1679	0.11829	2237	-0.11318	9.47663E-132	False
ITF2_HUMAN.H11MO.0.C_ITF2_HUMAN.H11MO.0.C	ITF2_HUMAN.H11MO.0.C	ITF2_HUMAN.H11MO.0.C	C_ASCL1_HUMAN.H11MO.0.A	115856	0.1088	9932	0.15386	14486	-0.17049	1.86336E-181	False
JUNB_HUMAN.H11MO.0.A_JUNB_HUMAN.H11MO.0.A	JUNB_HUMAN.H11MO.0.A	JUNB_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	48601	0.12634	5159	0.09157	3060	0.21582	5.79925E-167	False
JUND_HUMAN.H11MO.0.A_JUND_HUMAN.H11MO.0.A	JUND_HUMAN.H11MO.0.A	JUND_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	45763	0.12738	4835	0.09457	2999	0.21042	4.15053E-166	False
JUN_HUMAN.H11MO.0.A_JUN_HUMAN.H11MO.0.A	JUN_HUMAN.H11MO.0.A	JUN_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	43134	0.12324	4377	0.09318	2753	0.19383	2.63836E-157	False
KAISO_HUMAN.H11MO.0.A_KAISO_HUMAN.H11MO.0.A	KAISO_HUMAN.H11MO.0.A	KAISO_HUMAN.H11MO.0.A	C_KAISO_HUMAN.H11MO.0.A	17339	0.3487	5015	0.42329	6439	-0.16695	5.89200E-135	False
KLF12_HUMAN.H11MO.0.C_KLF12_HUMAN.H11MO.0.C	KLF12_HUMAN.H11MO.0.C	KLF12_HUMAN.H11MO.0.C	C_SP2_HUMAN.H11MO.0.A	158115	0.31859	41241	0.36894	49040	-0.10445	8.43119E-165	False
KLF15_HUMAN.H11MO.0.A_KLF15_HUMAN.H11MO.0.A	KLF15_HUMAN.H11MO.0.A	KLF15_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	313319	0.20925	54146	0.24554	65888	-0.05342	4.59127E-151	False
KLF1_HUMAN.H11MO.0.A_KLF1_HUMAN.H11MO.0.A	KLF1_HUMAN.H11MO.0.A	KLF1_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	178108	0.27481	40222	0.31993	48045	-0.0955	5.22668E-162	False
KLF3_HUMAN.H11MO.0.B_KLF3_HUMAN.H11MO.0.B	KLF3_HUMAN.H11MO.0.B	KLF3_HUMAN.H11MO.0.B	C_SP2_HUMAN.H11MO.0.A	223951	0.27494	51301	0.32934	63780	-0.13044	1.28745E-176	False
KLF4_HUMAN.H11MO.0.A_KLF4_HUMAN.H11MO.0.A	KLF4_HUMAN.H11MO.0.A	KLF4_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	113755	0.29943	27430	0.32902	30249	-0.01551	2.71562E-70	False
KLF5_HUMAN.H11MO.0.A_KLF5_HUMAN.H11MO.0.A	KLF5_HUMAN.H11MO.0.A	KLF5_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	185166	0.23039	34827	0.26642	40885	-0.06269	3.92590E-139	False
KLF6_HUMAN.H11MO.0.A_KLF6_HUMAN.H11MO.0.A	KLF6_HUMAN.H11MO.0.A	KLF6_HUMAN.H11MO.0.A	C_SP2_HUMAN.H11MO.0.A	279086	0.23036	53432	0.27673	66657	-0.10064	2.52361E-170	False
KLF8_HUMAN.H11MO.0.C_KLF8_HUMAN.H11MO.0.C	KLF8_HUMAN.H11MO.0.C	KLF8_HUMAN.H11MO.0.C	C_KLF8_HUMAN.H11MO.0.C	47242	0.18081	7030	0.21185	8376	-0.06006	8.54860E-113	False
KLF9_HUMAN.H11MO.0.C_KLF9_HUMAN.H11MO.0.C	KLF9_HUMAN.H11MO.0.C	KLF9_HUMAN.H11MO.0.C	C_SP2_HUMAN.H11MO.0.A	137101	0.31669	35624	0.36912	42543	-0.11694	3.58365E-163	False
LEF1_HUMAN.H11MO.0.A_LEF1_HUMAN.H11MO.0.A	LEF1_HUMAN.H11MO.0.A	LEF1_HUMAN.H11MO.0.A	C_LEF1_HUMAN.H11MO.0.A	115081	0.08612	6863	0.09617	7164	0.01115	2.45708E-61	False
LHX2_HUMAN.H11MO.0.A_LHX2_HUMAN.H11MO.0.A	LHX2_HUMAN.H11MO.0.A	LHX2_HUMAN.H11MO.0.A	C_LHX2_HUMAN.H11MO.0.A	35685	0.05854	1085	0.10428	2272	-0.24735	4.95348E-166	True
LHX3_HUMAN.H11MO.0.C_LHX3_HUMAN.H11MO.0.C	LHX3_HUMAN.H11MO.0.C	LHX3_HUMAN.H11MO.0.C	C_LHX3_HUMAN.H11MO.0.C	39212	0.04506	650	0.07559	1343	-0.16947	2.89996E-151	False
LYL1_HUMAN.H11MO.0.A_LYL1_HUMAN.H11MO.0.A	LYL1_HUMAN.H11MO.0.A	LYL1_HUMAN.H11MO.0.A	C_LYL1_HUMAN.H11MO.0.A	131222	0.11429	11966	0.13507	13843	-0.04448	2.81124E-122	False
MAFB_HUMAN.H11MO.0.B_MAFB_HUMAN.H11MO.0.B	MAFB_HUMAN.H11MO.0.B	MAFB_HUMAN.H11MO.0.B	C_MAFB_HUMAN.H11MO.0.B	60527	0.11552	5620	0.10506	4460	0.09306	4.48876E-134	False
MAFF_HUMAN.H11MO.0.B_MAFF_HUMAN.H11MO.0.B	MAFF_HUMAN.H11MO.0.B	MAFF_HUMAN.H11MO.0.B	C_MAFF_HUMAN.H11MO.0.B	65372	0.10689	5390	0.09213	4027	0.13532	3.66594E-160	False
MAFG_HUMAN.H11MO.0.A_MAFG_HUMAN.H11MO.0.A	MAFG_HUMAN.H11MO.0.A	MAFG_HUMAN.H11MO.0.A	C_MAFK_HUMAN.H11MO.0.A	45022	0.11861	4357	0.1005	3183	0.14247	9.73418E-144	False
MAFK_HUMAN.H11MO.0.A_MAFK_HUMAN.H11MO.0.A	MAFK_HUMAN.H11MO.0.A	MAFK_HUMAN.H11MO.0.A	C_MAFK_HUMAN.H11MO.0.A	48808	0.10965	4205	0.0886	2792	0.15573	1.03717E-152	False
MAF_HUMAN.H11MO.0.A_MAF_HUMAN.H11MO.0.A	MAF_HUMAN.H11MO.0.A	MAF_HUMAN.H11MO.0.A	C_MAFK_HUMAN.H11MO.0.A	68569	0.1098	5802	0.09383	4305	0.14884	1.32557E-166	False
MAX_HUMAN.H11MO.0.A_MAX_HUMAN.H11MO.0.A	MAX_HUMAN.H11MO.0.A	MAX_HUMAN.H11MO.0.A	C_MAX_HUMAN.H11MO.0.A	33850	0.17716	4880	0.18742	5109	0.01876	2.37138E-59	False
MAZ_HUMAN.H11MO.0.A_MAZ_HUMAN.H11MO.0.A	MAZ_HUMAN.H11MO.0.A	MAZ_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	353777	0.1843	53684	0.21457	64518	-0.03003	3.86219E-125	False
MBD2_HUMAN.H11MO.0.B_MBD2_HUMAN.H11MO.0.B	MBD2_HUMAN.H11MO.0.B	MBD2_HUMAN.H11MO.0.B	C_MBD2_HUMAN.H11MO.0.B	51734	0.30761	14319	0.39566	19661	-0.28296	9.95066E-180	True
MECP2_HUMAN.H11MO.0.C_MECP2_HUMAN.H11MO.0.C	MECP2_HUMAN.H11MO.0.C	MECP2_HUMAN.H11MO.0.C	C_MECP2_HUMAN.H11MO.0.C	49893	0.23158	9999	0.30452	14191	-0.25289	2.98796E-173	True
MEF2A_HUMAN.H11MO.0.A_MEF2A_HUMAN.H11MO.0.A	MEF2A_HUMAN.H11MO.0.A	MEF2A_HUMAN.H11MO.0.A	C_MEF2B_HUMAN.H11MO.0.A	77649	0.07854	3702	0.06475	2425	0.16296	1.65111E-160	False
MEF2B_HUMAN.H11MO.0.A_MEF2B_HUMAN.H11MO.0.A	MEF2B_HUMAN.H11MO.0.A	MEF2B_HUMAN.H11MO.0.A	C_MEF2B_HUMAN.H11MO.0.A	78364	0.0798	3835	0.06628	2555	0.1643	7.28407E-170	False
MEF2C_HUMAN.H11MO.0.A_MEF2C_HUMAN.H11MO.0.A	MEF2C_HUMAN.H11MO.0.A	MEF2C_HUMAN.H11MO.0.A	C_MEF2B_HUMAN.H11MO.0.A	75234	0.07878	3641	0.06549	2390	0.15823	7.28624E-162	False
MEF2D_HUMAN.H11MO.0.A_MEF2D_HUMAN.H11MO.0.A	MEF2D_HUMAN.H11MO.0.A	MEF2D_HUMAN.H11MO.0.A	C_MEF2B_HUMAN.H11MO.0.A	63088	0.07979	3100	0.06555	2009	0.16501	7.76760E-163	False
MEIS1_HUMAN.H11MO.0.A_MEIS1_HUMAN.H11MO.0.A	MEIS1_HUMAN.H11MO.0.A	MEIS1_HUMAN.H11MO.0.A	C_MEIS1_HUMAN.H11MO.0.A	30035	0.06096	930	0.07835	1167	-0.06232	1.25160E-104	False
MEIS2_HUMAN.H11MO.0.B_MEIS2_HUMAN.H11MO.0.B	MEIS2_HUMAN.H11MO.0.B	MEIS2_HUMAN.H11MO.0.B	C_MEIS2_HUMAN.H11MO.0.B	44750	0.09144	2851	0.09594	2659	0.0269	7.35332E-74	False
MITF_HUMAN.H11MO.0.A_MITF_HUMAN.H11MO.0.A	MITF_HUMAN.H11MO.0.A	MITF_HUMAN.H11MO.0.A	C_USF2_HUMAN.H11MO.0.A	29155	0.20001	4592	0.16713	3413	0.24713	5.08353E-172	False
MTF1_HUMAN.H11MO.0.C_MTF1_HUMAN.H11MO.0.C	MTF1_HUMAN.H11MO.0.C	MTF1_HUMAN.H11MO.0.C	C_MTF1_HUMAN.H11MO.0.C	29962	0.16814	4027	0.20319	5214	-0.07483	5.71662E-108	False
MXI1_HUMAN.H11MO.0.A_MXI1_HUMAN.H11MO.0.A	MXI1_HUMAN.H11MO.0.A	MXI1_HUMAN.H11MO.0.A	C_MXI1_HUMAN.H11MO.0.A	48718	0.20818	8495	0.23865	9825	-0.06635	7.68105E-116	False
MYB_HUMAN.H11MO.0.A_MYB_HUMAN.H11MO.0.A	MYB_HUMAN.H11MO.0.A	MYB_HUMAN.H11MO.0.A	C_MYB_HUMAN.H11MO.0.A	43370	0.11212	3754	0.13329	4357	-0.04726	7.28341E-101	False
MYCN_HUMAN.H11MO.0.A_MYCN_HUMAN.H11MO.0.A	MYCN_HUMAN.H11MO.0.A	MYCN_HUMAN.H11MO.0.A	C_MYCN_HUMAN.H11MO.0.A	31121	0.21968	5741	0.22948	5952	0.03512	2.29514E-81	False
MYC_HUMAN.H11MO.0.A_MYC_HUMAN.H11MO.0.A	MYC_HUMAN.H11MO.0.A	MYC_HUMAN.H11MO.0.A	C_MAX_HUMAN.H11MO.0.A	33501	0.15349	4163	0.16029	4110	0.02648	2.34594E-70	False
MYF6_HUMAN.H11MO.0.C_MYF6_HUMAN.H11MO.0.C	MYF6_HUMAN.H11MO.0.C	MYF6_HUMAN.H11MO.0.C	C_ASCL1_HUMAN.H11MO.0.A	58337	0.11436	5513	0.17842	8910	-0.25954	1.02855E-172	True
MYOD1_HUMAN.H11MO.0.A_MYOD1_HUMAN.H11MO.0.A	MYOD1_HUMAN.H11MO.0.A	MYOD1_HUMAN.H11MO.0.A	C_ASCL1_HUMAN.H11MO.0.A	97637	0.11559	9115	0.16387	13331	-0.18062	1.17160E-177	False
MYOG_HUMAN.H11MO.0.B_MYOG_HUMAN.H11MO.0.B	MYOG_HUMAN.H11MO.0.B	MYOG_HUMAN.H11MO.0.B	C_ASCL1_HUMAN.H11MO.0.A	94410	0.1117	8459	0.16222	12583	-0.1973	2.53435E-178	True
MZF1_HUMAN.H11MO.0.B_MZF1_HUMAN.H11MO.0.B	MZF1_HUMAN.H11MO.0.B	MZF1_HUMAN.H11MO.0.B	C_MZF1_HUMAN.H11MO.0.B	102338	0.13899	11518	0.14114	11403	0.08563	1.42654E-142	False
NANOG_HUMAN.H11MO.0.A_NANOG_HUMAN.H11MO.0.A	NANOG_HUMAN.H11MO.0.A	NANOG_HUMAN.H11MO.0.A	C_NANOG_HUMAN.H11MO.0.A	72050	0.06285	2631	0.0874	3578	-0.09765	6.76615E-147	False
NDF1_HUMAN.H11MO.0.A_NDF1_HUMAN.H11MO.0.A	NDF1_HUMAN.H11MO.0.A	NDF1_HUMAN.H11MO.0.A	C_ATOH1_HUMAN.H11MO.0.B	81233	0.10073	6361	0.138	8874	-0.14082	2.52912E-159	False
NDF2_HUMAN.H11MO.0.B_NDF2_HUMAN.H11MO.0.B	NDF2_HUMAN.H11MO.0.B	NDF2_HUMAN.H11MO.0.B	C_ATOH1_HUMAN.H11MO.0.B	95294	0.10674	7992	0.14699	11213	-0.14494	5.08827E-167	False
NF2L1_HUMAN.H11MO.0.C_NF2L1_HUMAN.H11MO.0.C	NF2L1_HUMAN.H11MO.0.C	NF2L1_HUMAN.H11MO.0.C	C_NF2L1_HUMAN.H11MO.0.C	20676	0.10276	1618	0.08354	1079	0.16118	3.34195E-137	False
NF2L2_HUMAN.H11MO.0.A_NF2L2_HUMAN.H11MO.0.A	NF2L2_HUMAN.H11MO.0.A	NF2L2_HUMAN.H11MO.0.A	C_BACH2_HUMAN.H11MO.0.A	49590	0.1143	4560	0.09279	3010	0.15276	3.73882E-152	False
NFAC1_HUMAN.H11MO.0.B_NFAC1_HUMAN.H11MO.0.B	NFAC1_HUMAN.H11MO.0.B	NFAC1_HUMAN.H11MO.0.B	C_NFAC1_HUMAN.H11MO.0.B	161865	0.08537	9400	0.08375	8226	0.07331	7.81515E-140	False
NFAC2_HUMAN.H11MO.0.B_NFAC2_HUMAN.H11MO.0.B	NFAC2_HUMAN.H11MO.0.B	NFAC2_HUMAN.H11MO.0.B	C_NFAC2_HUMAN.H11MO.0.B	78473	0.07463	3576	0.08399	3805	-0.0042	1.24236E-24	False
NFAC3_HUMAN.H11MO.0.B_NFAC3_HUMAN.H11MO.0.B	NFAC3_HUMAN.H11MO.0.B	NFAC3_HUMAN.H11MO.0.B	C_NFAC2_HUMAN.H11MO.0.B	63095	0.08386	3518	0.09051	3520	0.01557	1.52376E-60	False
NFAC4_HUMAN.H11MO.0.C_NFAC4_HUMAN.H11MO.0.C	NFAC4_HUMAN.H11MO.0.C	NFAC4_HUMAN.H11MO.0.C	C_NFAC4_HUMAN.H11MO.0.C	71723	0.07712	3387	0.08339	3467	0.02282	1.76664E-78	False
NFE2_HUMAN.H11MO.0.A_NFE2_HUMAN.H11MO.0.A	NFE2_HUMAN.H11MO.0.A	NFE2_HUMAN.H11MO.0.A	C_BACH2_HUMAN.H11MO.0.A	49685	0.13017	5287	0.11221	4025	0.13696	4.08882E-150	False
NFIA_HUMAN.H11MO.0.C_NFIA_HUMAN.H11MO.0.C	NFIA_HUMAN.H11MO.0.C	NFIA_HUMAN.H11MO.0.C	C_NFIC_HUMAN.H11MO.0.A	70961	0.10867	5912	0.16204	9167	-0.21538	2.08526E-175	True
NFIC_HUMAN.H11MO.0.A_NFIC_HUMAN.H11MO.0.A	NFIC_HUMAN.H11MO.0.A	NFIC_HUMAN.H11MO.0.A	C_NFIC_HUMAN.H11MO.0.A	118610	0.12183	11688	0.17505	17295	-0.20569	9.53303E-181	True
NFKB1_HUMAN.H11MO.1.B_NFKB1_HUMAN.H11MO.1.B	NFKB1_HUMAN.H11MO.1.B	NFKB1_HUMAN.H11MO.1.B	C_NFKB1_HUMAN.H11MO.1.B	55002	0.14448	6460	0.14116	6103	0.09238	1.62305E-132	False
NFKB2_HUMAN.H11MO.0.B_NFKB2_HUMAN.H11MO.0.B	NFKB2_HUMAN.H11MO.0.B	NFKB2_HUMAN.H11MO.0.B	C_NFKB1_HUMAN.H11MO.1.B	61349	0.13831	6746	0.13766	6586	0.08673	2.79533E-139	False
NFYA_HUMAN.H11MO.0.A_NFYA_HUMAN.H11MO.0.A	NFYA_HUMAN.H11MO.0.A	NFYA_HUMAN.H11MO.0.A	C_NFYC_HUMAN.H11MO.0.A	30014	0.32513	6269	0.36135	6545	0.01801	3.86187E-57	False
NFYB_HUMAN.H11MO.0.A_NFYB_HUMAN.H11MO.0.A	NFYB_HUMAN.H11MO.0.A	NFYB_HUMAN.H11MO.0.A	C_NFYC_HUMAN.H11MO.0.A	29611	0.3417	6623	0.37992	6919	0.01518	4.43861E-45	False
