"output_prefix" "name" "motif_id" "cluster" "total_tfbs" "MG_mean_score" "MG_bound" "OPC_mean_score" "OPC_bound" "MG_OPC_change" "MG_OPC_pvalue" "MG_OPC_highlighted" "Transcription.factor" "oRG" "vRG" "MG" "Oligo" "cat" "label"
"171" "MAZ_HUMAN.H11MO.0.A_MAZ_HUMAN.H11MO.0.A" "MAZ_HUMAN.H11MO.0.A" "MAZ_HUMAN.H11MO.0.A" "C_MAZ_HUMAN.H11MO.0.A" 353777 0.1843 53684 0.21457 64518 -0.03003 3.86219e-125 "False" "MAZ" 63.0994200856998 65.8975275683135 50.7409021417796 40.4304176182926 "NOT_SIG" NA
"172" "MBD2_HUMAN.H11MO.0.B_MBD2_HUMAN.H11MO.0.B" "MBD2_HUMAN.H11MO.0.B" "MBD2_HUMAN.H11MO.0.B" "C_MBD2_HUMAN.H11MO.0.B" 51734 0.30761 14319 0.39566 19661 -0.28296 9.95066e-180 "True" "MBD2" 14.0711988599084 13.0364533040545 26.1328959546675 14.0317613580365 "Oligo" NA
"173" "MECP2_HUMAN.H11MO.0.C_MECP2_HUMAN.H11MO.0.C" "MECP2_HUMAN.H11MO.0.C" "MECP2_HUMAN.H11MO.0.C" "C_MECP2_HUMAN.H11MO.0.C" 49893 0.23158 9999 0.30452 14191 -0.25289 2.98796e-173 "True" "MECP2" 34.4130754023269 42.1837263936876 62.5135999144202 35.8403051252706 "Oligo" NA
"174" "MEF2A_HUMAN.H11MO.0.A_MEF2A_HUMAN.H11MO.0.A" "MEF2A_HUMAN.H11MO.0.A" "MEF2A_HUMAN.H11MO.0.A" "C_MEF2B_HUMAN.H11MO.0.A" 77649 0.07854 3702 0.06475 2425 0.16296 1.65111e-160 "False" "MEF2A" 12.9527468668116 14.1913102902072 190.616102958153 13.9872257537665 "NOT_SIG" NA
"176" "MEF2C_HUMAN.H11MO.0.A_MEF2C_HUMAN.H11MO.0.A" "MEF2C_HUMAN.H11MO.0.A" "MEF2C_HUMAN.H11MO.0.A" "C_MEF2B_HUMAN.H11MO.0.A" 75234 0.07878 3641 0.06549 2390 0.15823 7.28624e-162 "False" "MEF2C" 10.6150405773485 25.5456252171191 429.776807559899 10.8506281185413 "NOT_SIG" NA
"177" "MEF2D_HUMAN.H11MO.0.A_MEF2D_HUMAN.H11MO.0.A" "MEF2D_HUMAN.H11MO.0.A" "MEF2D_HUMAN.H11MO.0.A" "C_MEF2B_HUMAN.H11MO.0.A" 63088 0.07979 3100 0.06555 2009 0.16501 7.7676e-163 "False" "MEF2D" 6.54781398024983 7.71007287245119 39.5900135519136 8.79238433864748 "NOT_SIG" NA
"178" "MEIS1_HUMAN.H11MO.0.A_MEIS1_HUMAN.H11MO.0.A" "MEIS1_HUMAN.H11MO.0.A" "MEIS1_HUMAN.H11MO.0.A" "C_MEIS1_HUMAN.H11MO.0.A" 30035 0.06096 930 0.07835 1167 -0.06232 1.2516e-104 "False" "MEIS1" 38.9936475811457 28.234473483083 9.624806847183 45.4204703527409 "NOT_SIG" NA
"179" "MEIS2_HUMAN.H11MO.0.B_MEIS2_HUMAN.H11MO.0.B" "MEIS2_HUMAN.H11MO.0.B" "MEIS2_HUMAN.H11MO.0.B" "C_MEIS2_HUMAN.H11MO.0.B" 44750 0.09144 2851 0.09594 2659 0.0269 7.35332e-74 "False" "MEIS2" 275.14559050265 279.060008857044 24.2664473358406 127.042848999331 "NOT_SIG" NA
"180" "MITF_HUMAN.H11MO.0.A_MITF_HUMAN.H11MO.0.A" "MITF_HUMAN.H11MO.0.A" "MITF_HUMAN.H11MO.0.A" "C_USF2_HUMAN.H11MO.0.A" 29155 0.20001 4592 0.16713 3413 0.24713 5.08353e-172 "False" "MITF" 1.66004819178494 1.4475089270867 78.0978111475732 3.94553678334505 "NOT_SIG" NA
"182" "MXI1_HUMAN.H11MO.0.A_MXI1_HUMAN.H11MO.0.A" "MXI1_HUMAN.H11MO.0.A" "MXI1_HUMAN.H11MO.0.A" "C_MXI1_HUMAN.H11MO.0.A" 48718 0.20818 8495 0.23865 9825 -0.06635 7.68105e-116 "False" "MXI1" 15.4826025896302 13.5607977367871 4.08018815286636 12.3240664109953 "NOT_SIG" NA
"189" "MZF1_HUMAN.H11MO.0.B_MZF1_HUMAN.H11MO.0.B" "MZF1_HUMAN.H11MO.0.B" "MZF1_HUMAN.H11MO.0.B" "C_MZF1_HUMAN.H11MO.0.B" 102338 0.13899 11518 0.14114 11403 0.08563 1.42654e-142 "False" "MZF1" 23.1777576697857 24.360716589902 34.7668496092501 23.2928884927669 "NOT_SIG" NA
"193" "NF2L1_HUMAN.H11MO.0.C_NF2L1_HUMAN.H11MO.0.C" "NF2L1_HUMAN.H11MO.0.C" "NF2L1_HUMAN.H11MO.0.C" "C_NF2L1_HUMAN.H11MO.0.C" 20676 0.10276 1618 0.08354 1079 0.16118 3.34195e-137 "False" "NFE2L1" 34.6261673811256 28.091588968087 33.7224059672286 19.8394580138793 "NOT_SIG" NA
"194" "NF2L2_HUMAN.H11MO.0.A_NF2L2_HUMAN.H11MO.0.A" "NF2L2_HUMAN.H11MO.0.A" "NF2L2_HUMAN.H11MO.0.A" "C_BACH2_HUMAN.H11MO.0.A" 49590 0.1143 4560 0.09279 3010 0.15276 3.73882e-152 "False" "NFE2L2" 40.8958905797853 31.8336975614756 68.1523253472196 20.1590219225758 "NOT_SIG" NA
"195" "NFAC1_HUMAN.H11MO.0.B_NFAC1_HUMAN.H11MO.0.B" "NFAC1_HUMAN.H11MO.0.B" "NFAC1_HUMAN.H11MO.0.B" "C_NFAC1_HUMAN.H11MO.0.B" 161865 0.08537 9400 0.08375 8226 0.07331 7.81515e-140 "False" "NFATC1" 0.879458191573343 1.59656869721826 58.800678094224 1.40593675292281 "NOT_SIG" NA
"197" "NFAC3_HUMAN.H11MO.0.B_NFAC3_HUMAN.H11MO.0.B" "NFAC3_HUMAN.H11MO.0.B" "NFAC3_HUMAN.H11MO.0.B" "C_NFAC2_HUMAN.H11MO.0.B" 63095 0.08386 3518 0.09051 3520 0.01557 1.52376e-60 "False" "NFATC3" 12.1429639236194 13.8997753106332 27.5848912174912 14.0441928105891 "NOT_SIG" NA
"201" "NFIA_HUMAN.H11MO.0.C_NFIA_HUMAN.H11MO.0.C" "NFIA_HUMAN.H11MO.0.C" "NFIA_HUMAN.H11MO.0.C" "C_NFIC_HUMAN.H11MO.0.A" 70961 0.10867 5912 0.16204 9167 -0.21538 2.08526e-175 "True" "NFIA" 172.420515941611 181.355599317533 29.9700208711731 111.588432100491 "Oligo" NA
"202" "NFIC_HUMAN.H11MO.0.A_NFIC_HUMAN.H11MO.0.A" "NFIC_HUMAN.H11MO.0.A" "NFIC_HUMAN.H11MO.0.A" "C_NFIC_HUMAN.H11MO.0.A" 118610 0.12183 11688 0.17505 17295 -0.20569 9.53303e-181 "True" "NFIC" 32.35235645544 38.0640849654719 80.6979408664841 23.0415935431672 "Oligo" NA
"203" "NFKB1_HUMAN.H11MO.1.B_NFKB1_HUMAN.H11MO.1.B" "NFKB1_HUMAN.H11MO.1.B" "NFKB1_HUMAN.H11MO.1.B" "C_NFKB1_HUMAN.H11MO.1.B" 55002 0.14448 6460 0.14116 6103 0.09238 1.62305e-132 "False" "NFKB1" 4.88768198949349 7.66556537438723 30.581398340993 6.35785469938621 "NOT_SIG" NA
"204" "NFKB2_HUMAN.H11MO.0.B_NFKB2_HUMAN.H11MO.0.B" "NFKB2_HUMAN.H11MO.0.B" "NFKB2_HUMAN.H11MO.0.B" "C_NFKB1_HUMAN.H11MO.1.B" 61349 0.13831 6746 0.13766 6586 0.08673 2.79533e-139 "False" "NFKB2" 7.92800642338255 7.75578065969774 49.8716556655043 7.97543690037682 "NOT_SIG" NA
"205" "NFYA_HUMAN.H11MO.0.A_NFYA_HUMAN.H11MO.0.A" "NFYA_HUMAN.H11MO.0.A" "NFYA_HUMAN.H11MO.0.A" "C_NFYC_HUMAN.H11MO.0.A" 30014 0.32513 6269 0.36135 6545 0.01801 3.86187e-57 "False" "NFYA" 9.78977336241463 9.20815745887793 15.5420131021612 12.8399890021459 "NOT_SIG" NA
"206" "NFYB_HUMAN.H11MO.0.A_NFYB_HUMAN.H11MO.0.A" "NFYB_HUMAN.H11MO.0.A" "NFYB_HUMAN.H11MO.0.A" "C_NFYC_HUMAN.H11MO.0.A" 29611 0.3417 6623 0.37992 6919 0.01518 4.43861e-45 "False" "NFYB" 23.5174346345787 22.0235589331652 15.6134405248004 26.015596680897 "NOT_SIG" NA
"207" "NFYC_HUMAN.H11MO.0.A_NFYC_HUMAN.H11MO.0.A" "NFYC_HUMAN.H11MO.0.A" "NFYC_HUMAN.H11MO.0.A" "C_NFYC_HUMAN.H11MO.0.A" 30536 0.33776 6722 0.37421 6994 0.01833 3.83558e-50 "False" "NFYC" 15.899844723871 20.9596005181387 28.852590503278 15.9818222909968 "NOT_SIG" NA
"216" "NR1H3_HUMAN.H11MO.0.B_NR1H3_HUMAN.H11MO.0.B" "NR1H3_HUMAN.H11MO.0.B" "NR1H3_HUMAN.H11MO.0.B" "C_NR1H3_HUMAN.H11MO.0.B" 53736 0.11827 4934 0.11026 4339 0.12274 4.44894e-149 "False" "NR1H3" 13.386140652663 8.51630011549866 28.2331036579872 7.6298942400044 "NOT_SIG" NA
"220" "NR2C1_HUMAN.H11MO.0.C_NR2C1_HUMAN.H11MO.0.C" "NR2C1_HUMAN.H11MO.0.C" "NR2C1_HUMAN.H11MO.0.C" "C_NR2C1_HUMAN.H11MO.0.C" 42221 0.12118 3808 0.09876 2807 0.19937 1.97812e-165 "False" "NR2C1" 38.8217715197494 30.0512527912961 63.7685419740527 44.9973212172143 "NOT_SIG" NA
"221" "NR2C2_HUMAN.H11MO.0.B_NR2C2_HUMAN.H11MO.0.B" "NR2C2_HUMAN.H11MO.0.B" "NR2C2_HUMAN.H11MO.0.B" "C_NR2C2_HUMAN.H11MO.0.B" 38398 0.17535 5434 0.18671 5910 0.02273 6.59461e-72 "False" "NR2C2" 39.9512139750962 37.2141632954739 53.4274193953727 40.3234150150592 "NOT_SIG" NA
"223" "NR4A1_HUMAN.H11MO.0.A_NR4A1_HUMAN.H11MO.0.A" "NR4A1_HUMAN.H11MO.0.A" "NR4A1_HUMAN.H11MO.0.A" "C_NR4A2_HUMAN.H11MO.0.C" 61141 0.09019 3735 0.08881 3246 0.06065 1.46032e-120 "False" "NR4A1" 56.3123911060479 168.019866234193 506.105003381405 52.6917935859125 "NOT_SIG" NA
"224" "NR4A2_HUMAN.H11MO.0.C_NR4A2_HUMAN.H11MO.0.C" "NR4A2_HUMAN.H11MO.0.C" "NR4A2_HUMAN.H11MO.0.C" "C_NR4A2_HUMAN.H11MO.0.C" 45809 0.10645 3449 0.08962 2555 0.16126 8.75914e-159 "False" "NR4A2" 1.85815057389327 3.67276594572103 80.7685686998499 0.931358736735827 "NOT_SIG" NA
"227" "NRF1_HUMAN.H11MO.0.A_NRF1_HUMAN.H11MO.0.A" "NRF1_HUMAN.H11MO.0.A" "NRF1_HUMAN.H11MO.0.A" "C_NRF1_HUMAN.H11MO.0.A" 38364 0.39911 12172 0.48987 15699 -0.24216 1.21696e-166 "True" "NRF1" 13.4765864238953 9.51285361095818 13.9332020731932 16.2247225809072 "Oligo" NA
"228" "OLIG2_HUMAN.H11MO.0.B_OLIG2_HUMAN.H11MO.0.B" "OLIG2_HUMAN.H11MO.0.B" "OLIG2_HUMAN.H11MO.0.B" "C_OLIG2_HUMAN.H11MO.0.B" 114392 0.10511 9371 0.12556 10897 -0.0503 3.00638e-125 "False" "OLIG2" 6.61262828608812 11.6241226967221 0.502053598947423 127.01679480497 "NOT_SIG" NA
"232" "OZF_HUMAN.H11MO.0.C_OZF_HUMAN.H11MO.0.C" "OZF_HUMAN.H11MO.0.C" "OZF_HUMAN.H11MO.0.C" "C_OZF_HUMAN.H11MO.0.C" 48067 0.06792 1845 0.07458 1908 0.02246 2.41593e-73 "False" "ZNF146" 45.5366615464788 44.2174456269646 23.7893396335692 46.8950198282916 "NOT_SIG" NA
"236" "PATZ1_HUMAN.H11MO.0.C_PATZ1_HUMAN.H11MO.0.C" "PATZ1_HUMAN.H11MO.0.C" "PATZ1_HUMAN.H11MO.0.C" "C_MAZ_HUMAN.H11MO.0.A" 326458 0.21332 58800 0.25994 75076 -0.10501 2.08905e-178 "False" "PATZ1" 21.9037294866208 21.2669816369605 15.2522252457041 15.3596467158921 "NOT_SIG" NA
"238" "PAX6_HUMAN.H11MO.0.C_PAX6_HUMAN.H11MO.0.C" "PAX6_HUMAN.H11MO.0.C" "PAX6_HUMAN.H11MO.0.C" "C_PAX6_HUMAN.H11MO.0.C" 34661 0.10026 2453 0.10082 2266 0.06472 2.83669e-106 "False" "PAX6" 304.432467775033 282.943688256394 11.3876386929694 49.0302499074867 "NOT_SIG" NA
"239" "PBX1_HUMAN.H11MO.0.A_PBX1_HUMAN.H11MO.0.A" "PBX1_HUMAN.H11MO.0.A" "PBX1_HUMAN.H11MO.0.A" "C_PBX3_HUMAN.H11MO.0.A" 45382 0.13801 4573 0.15769 5078 -0.01857 3.14458e-61 "False" "PBX1" 96.9229384515463 115.188775732533 12.0545986065963 80.8062086353772 "NOT_SIG" NA
"240" "PBX2_HUMAN.H11MO.0.C_PBX2_HUMAN.H11MO.0.C" "PBX2_HUMAN.H11MO.0.C" "PBX2_HUMAN.H11MO.0.C" "C_PBX2_HUMAN.H11MO.0.C" 37986 0.07455 1612 0.08786 1750 -0.02083 9.34355e-64 "False" "PBX2" 6.01635706405568 5.99473362556508 22.8881661739467 12.025003601991 "NOT_SIG" NA
"242" "PBX2_HUMAN.H11MO.0.C_PBX2_HUMAN.H11MO.0.C" "PBX2_HUMAN.H11MO.0.C" "PBX2_HUMAN.H11MO.0.C" "C_PBX2_HUMAN.H11MO.0.C" 37986 0.07455 1612 0.08786 1750 -0.02083 9.34355e-64 "False" "PBX2" 12.3140515024031 10.4796901356688 33.684413797565 20.3595081627853 "NOT_SIG" NA
"246" "PBX2_HUMAN.H11MO.0.C_PBX2_HUMAN.H11MO.0.C" "PBX2_HUMAN.H11MO.0.C" "PBX2_HUMAN.H11MO.0.C" "C_PBX2_HUMAN.H11MO.0.C" 37986 0.07455 1612 0.08786 1750 -0.02083 9.34355e-64 "False" "PBX2" 19.0341231187489 13.5427242581558 18.3901424526175 11.2574405005964 "NOT_SIG" NA
"247" "PBX3_HUMAN.H11MO.0.A_PBX3_HUMAN.H11MO.0.A" "PBX3_HUMAN.H11MO.0.A" "PBX3_HUMAN.H11MO.0.A" "C_PBX3_HUMAN.H11MO.0.A" 50994 0.18309 7127 0.21373 8286 -0.05645 4.65349e-113 "False" "PBX3" 11.2484991202287 13.5394194709055 16.2085945077542 23.6379686501531 "NOT_SIG" NA
"249" "PEBB_HUMAN.H11MO.0.C_PEBB_HUMAN.H11MO.0.C" "PEBB_HUMAN.H11MO.0.C" "PEBB_HUMAN.H11MO.0.C" "C_PEBB_HUMAN.H11MO.0.C" 53271 0.12497 5378 0.11191 4333 0.12467 4.25014e-140 "False" "CBFB" 24.9276159246054 19.9224161293743 40.3821162189349 31.3244100832653 "NOT_SIG" NA
"251" "PKNX1_HUMAN.H11MO.0.B_PKNX1_HUMAN.H11MO.0.B" "PKNX1_HUMAN.H11MO.0.B" "PKNX1_HUMAN.H11MO.0.B" "C_PBX3_HUMAN.H11MO.0.A" 46000 0.15948 5319 0.18014 5824 -0.01231 1.15882e-51 "False" "PKNOX1" 17.7434589107713 17.3927889903796 15.3415652410892 14.3791596586607 "NOT_SIG" NA
"252" "PO2F1_HUMAN.H11MO.0.C_PO2F1_HUMAN.H11MO.0.C" "PO2F1_HUMAN.H11MO.0.C" "PO2F1_HUMAN.H11MO.0.C" "C_PO2F1_HUMAN.H11MO.0.C" 55850 0.06574 2109 0.08559 2642 -0.07361 2.95908e-126 "False" "POU2F1" 57.6702072583713 52.6450481722305 17.3436162399477 33.6946873722327 "NOT_SIG" NA
"255" "PO3F2_HUMAN.H11MO.0.A_PO3F2_HUMAN.H11MO.0.A" "PO3F2_HUMAN.H11MO.0.A" "PO3F2_HUMAN.H11MO.0.A" "C_PO3F2_HUMAN.H11MO.0.A" 56923 0.06719 2212 0.08999 3018 -0.07661 6.45701e-127 "False" "POU3F2" 73.1800806487777 66.1479233031918 6.65642372655608 52.3236665035334 "NOT_SIG" NA
"257" "PPARA_HUMAN.H11MO.0.B_PPARA_HUMAN.H11MO.0.B" "PPARA_HUMAN.H11MO.0.B" "PPARA_HUMAN.H11MO.0.B" "C_PPARG_HUMAN.H11MO.0.A" 72365 0.11716 6338 0.11326 5838 0.10071 3.36893e-137 "False" "PPARA" 12.9971371845175 9.93272325458388 14.8767024133526 8.82771742885129 "NOT_SIG" NA
"258" "PPARG_HUMAN.H11MO.0.A_PPARG_HUMAN.H11MO.0.A" "PPARG_HUMAN.H11MO.0.A" "PPARG_HUMAN.H11MO.0.A" "C_PPARG_HUMAN.H11MO.0.A" 94042 0.1277 9256 0.13083 9207 0.0697 5.59528e-134 "False" "PPARG" 0.0694192546937345 0.386848542755566 22.9433729281141 0.392116061366109 "NOT_SIG" NA
"260" "PRDM1_HUMAN.H11MO.0.A_PRDM1_HUMAN.H11MO.0.A" "PRDM1_HUMAN.H11MO.0.A" "PRDM1_HUMAN.H11MO.0.A" "C_PRDM1_HUMAN.H11MO.0.A" 135441 0.11361 11995 0.09485 8681 0.16085 7.20095e-183 "False" "PRDM1" 0.193635165045661 1.10282162276788 121.339115390499 0.29996622434242 "NOT_SIG" NA
"268" "REL_HUMAN.H11MO.0.B_REL_HUMAN.H11MO.0.B" "REL_HUMAN.H11MO.0.B" "REL_HUMAN.H11MO.0.B" "C_REL_HUMAN.H11MO.0.B" 72977 0.12523 7277 0.10676 5619 0.15823 2.17251e-159 "False" "REL" 2.99871540339511 4.92379243240603 46.3753029120914 3.63472574036654 "NOT_SIG" NA
"269" "REST_HUMAN.H11MO.0.A_REST_HUMAN.H11MO.0.A" "REST_HUMAN.H11MO.0.A" "REST_HUMAN.H11MO.0.A" "C_REST_HUMAN.H11MO.0.A" 66557 0.13958 7637 0.16988 9617 -0.07096 1.2851e-122 "False" "REST" 23.9230323734088 22.9269696025686 13.8337480721422 14.939663390479 "NOT_SIG" NA
"273" "RFX3_HUMAN.H11MO.0.B_RFX3_HUMAN.H11MO.0.B" "RFX3_HUMAN.H11MO.0.B" "RFX3_HUMAN.H11MO.0.B" "C_RFX3_HUMAN.H11MO.0.B" 31881 0.1175 2796 0.16647 4150 -0.14147 1.63365e-140 "False" "RFX3" 31.3023109824734 30.7312661522855 14.396319587642 29.9017967656816 "NOT_SIG" NA
"274" "RFX5_HUMAN.H11MO.0.A_RFX5_HUMAN.H11MO.0.A" "RFX5_HUMAN.H11MO.0.A" "RFX5_HUMAN.H11MO.0.A" "C_RFX5_HUMAN.H11MO.0.A" 61432 0.15485 7916 0.20166 10466 -0.13557 4.61596e-150 "False" "RFX5" 46.1170742630488 51.1449695326569 37.6582520278342 61.7519509452869 "NOT_SIG" NA
"277" "RUNX1_HUMAN.H11MO.0.A_RUNX1_HUMAN.H11MO.0.A" "RUNX1_HUMAN.H11MO.0.A" "RUNX1_HUMAN.H11MO.0.A" "C_RUNX2_HUMAN.H11MO.0.A" 56911 0.11611 5182 0.09512 3655 0.16961 2.21851e-159 "False" "RUNX1" 0.737298369698451 3.26667203724876 175.797865531472 1.87316162574295 "NOT_SIG" NA
"278" "RUNX2_HUMAN.H11MO.0.A_RUNX2_HUMAN.H11MO.0.A" "RUNX2_HUMAN.H11MO.0.A" "RUNX2_HUMAN.H11MO.0.A" "C_RUNX2_HUMAN.H11MO.0.A" 79427 0.10942 6644 0.10089 5480 0.10668 8.01495e-150 "False" "RUNX2" 0.487738702320722 0.0269297386162189 11.5466069595207 0.0203944963937177 "NOT_SIG" NA
"280" "RXRA_HUMAN.H11MO.0.A_RXRA_HUMAN.H11MO.0.A" "RXRA_HUMAN.H11MO.0.A" "RXRA_HUMAN.H11MO.0.A" "C_RXRA_HUMAN.H11MO.0.A" 166044 0.14617 19474 0.15982 21203 0.03074 3.15156e-113 "False" "RXRA" 9.89996981714123 9.88510915826865 14.4023010419926 12.8000648685931 "NOT_SIG" NA
"283" "RXRB_HUMAN.H11MO.0.C_RXRB_HUMAN.H11MO.0.C" "RXRB_HUMAN.H11MO.0.C" "RXRB_HUMAN.H11MO.0.C" "C_RXRB_HUMAN.H11MO.0.C" 48392 0.12222 4371 0.0967 3110 0.21271 2.42022e-170 "False" "RXRB" 12.6480205302387 14.1512180608074 20.2923120751187 15.6457181055418 "NOT_SIG" NA
"291" "SMAD2_HUMAN.H11MO.0.A_SMAD2_HUMAN.H11MO.0.A" "SMAD2_HUMAN.H11MO.0.A" "SMAD2_HUMAN.H11MO.0.A" "C_SMAD2_HUMAN.H11MO.0.A" 91422 0.1044 7149 0.1203 8065 -0.0101 2.44328e-56 "False" "SMAD2" 47.6842425781671 38.7398279566529 67.3907030157479 52.4937166481709 "NOT_SIG" NA
"292" "SMAD3_HUMAN.H11MO.0.B_SMAD3_HUMAN.H11MO.0.B" "SMAD3_HUMAN.H11MO.0.B" "SMAD3_HUMAN.H11MO.0.B" "C_SMAD3_HUMAN.H11MO.0.B" 164542 0.11541 14664 0.13438 17286 -0.01196 4.91622e-72 "False" "SMAD3" 10.9355377734259 14.9732304660918 78.9008207837987 11.4989972076701 "NOT_SIG" NA
"293" "SMAD4_HUMAN.H11MO.0.B_SMAD4_HUMAN.H11MO.0.B" "SMAD4_HUMAN.H11MO.0.B" "SMAD4_HUMAN.H11MO.0.B" "C_SMAD2_HUMAN.H11MO.0.A" 70911 0.10795 5831 0.12794 6875 -0.03568 3.18492e-101 "False" "SMAD4" 85.1148058890548 73.3932313244684 72.3225424829898 74.4847201872391 "NOT_SIG" NA
"294" "SMCA1_HUMAN.H11MO.0.C_SMCA1_HUMAN.H11MO.0.C" "SMCA1_HUMAN.H11MO.0.C" "SMCA1_HUMAN.H11MO.0.C" "C_SMCA1_HUMAN.H11MO.0.C" 90989 0.08399 5132 0.08586 4758 0.0568 1.82568e-125 "False" "SMARCA1" 30.6980160656786 25.9320747824901 51.8778959119149 23.6618380348134 "NOT_SIG" NA
"295" "SMCA5_HUMAN.H11MO.0.C_SMCA5_HUMAN.H11MO.0.C" "SMCA5_HUMAN.H11MO.0.C" "SMCA5_HUMAN.H11MO.0.C" "C_SMCA5_HUMAN.H11MO.0.C" 60789 0.09892 4315 0.10314 4320 0.06289 8.2325e-123 "False" "SMARCA5" 28.3558669840919 35.0510164088176 19.1499076805011 35.1589679101797 "NOT_SIG" NA
"298" "SOX10_HUMAN.H11MO.0.B_SOX10_HUMAN.H11MO.0.B" "SOX10_HUMAN.H11MO.0.B" "SOX10_HUMAN.H11MO.0.B" "C_SOX9_HUMAN.H11MO.0.B" 70705 0.06234 2899 0.13303 6981 -0.31644 1.9186e-198 "True" "SOX10" 0.0241144210499357 4.89986352941824 0.237782604911445 43.58133635876 "Oligo" "SOX10"
"300" "SOX2_HUMAN.H11MO.0.A_SOX2_HUMAN.H11MO.0.A" "SOX2_HUMAN.H11MO.0.A" "SOX2_HUMAN.H11MO.0.A" "C_SOX2_HUMAN.H11MO.0.A" 117255 0.0842 6797 0.1096 8980 -0.0632 3.32118e-127 "False" "SOX2" 167.988108860963 162.256577197254 3.93909929366735 110.404593820814 "NOT_SIG" NA
"302" "SOX4_HUMAN.H11MO.0.B_SOX4_HUMAN.H11MO.0.B" "SOX4_HUMAN.H11MO.0.B" "SOX4_HUMAN.H11MO.0.B" "C_SOX2_HUMAN.H11MO.0.A" 117127 0.08635 7042 0.11331 9430 -0.06765 7.6831e-134 "False" "SOX4" 25.9154165645736 46.7735227740751 12.2835907376015 40.4155034316309 "NOT_SIG" NA
"303" "SOX5_HUMAN.H11MO.0.C_SOX5_HUMAN.H11MO.0.C" "SOX5_HUMAN.H11MO.0.C" "SOX5_HUMAN.H11MO.0.C" "C_SRY_HUMAN.H11MO.0.B" 35795 0.06324 1247 0.07882 1532 -0.02944 8.53199e-79 "False" "SOX5" 92.7314788063328 101.144849893973 12.2798648129284 137.831936112342 "NOT_SIG" NA
"304" "SOX9_HUMAN.H11MO.0.B_SOX9_HUMAN.H11MO.0.B" "SOX9_HUMAN.H11MO.0.B" "SOX9_HUMAN.H11MO.0.B" "C_SOX9_HUMAN.H11MO.0.B" 75665 0.06503 3377 0.14214 8263 -0.33683 1.40751e-195 "True" "SOX9" 122.507625687049 136.610210869993 1.89844168935754 50.1248450234162 "Oligo" "SOX9"
"305" "SP1_HUMAN.H11MO.0.A_SP1_HUMAN.H11MO.0.A" "SP1_HUMAN.H11MO.0.A" "SP1_HUMAN.H11MO.0.A" "C_SP2_HUMAN.H11MO.0.A" 268474 0.27834 63282 0.34219 82102 -0.17435 2.46616e-196 "False" "SP1" 27.2629001819239 22.0821029616465 18.8172813395158 16.156009038021 "NOT_SIG" "SP1"
"307" "SP3_HUMAN.H11MO.0.B_SP3_HUMAN.H11MO.0.B" "SP3_HUMAN.H11MO.0.B" "SP3_HUMAN.H11MO.0.B" "C_SP2_HUMAN.H11MO.0.A" 282312 0.26519 63021 0.32503 80955 -0.15853 1.64746e-192 "False" "SP3" 35.7554383308094 33.7067062743378 30.0398388533856 29.0544184853154 "NOT_SIG" NA
"308" "SP4_HUMAN.H11MO.0.A_SP4_HUMAN.H11MO.0.A" "SP4_HUMAN.H11MO.0.A" "SP4_HUMAN.H11MO.0.A" "C_SP2_HUMAN.H11MO.0.A" 268637 0.24354 54011 0.28735 66085 -0.07936 8.60112e-164 "False" "SP4" 12.0277431479944 16.2874613393259 4.83382005231756 12.2565213119816 "NOT_SIG" NA
"309" "SPI1_HUMAN.H11MO.0.A_SPI1_HUMAN.H11MO.0.A" "SPI1_HUMAN.H11MO.0.A" "SPI1_HUMAN.H11MO.0.A" "C_BC11A_HUMAN.H11MO.0.A" 177724 0.1758 27653 0.08624 10770 0.54043 4.16223e-234 "True" "SPI1" 0 0.0871683434162107 107.264292071212 0.113870493318668 "MG" "SPI1"
"311" "SRBP1_HUMAN.H11MO.0.A_SRBP1_HUMAN.H11MO.0.A" "SRBP1_HUMAN.H11MO.0.A" "SRBP1_HUMAN.H11MO.0.A" "C_SRBP1_HUMAN.H11MO.0.A" 49316 0.1363 5044 0.13341 4777 0.11778 2.01218e-142 "False" "SREBF1" 23.3849497043459 43.7979476138414 69.3179421231254 11.5611811300692 "NOT_SIG" NA
"312" "SRBP2_HUMAN.H11MO.0.B_SRBP2_HUMAN.H11MO.0.B" "SRBP2_HUMAN.H11MO.0.B" "SRBP2_HUMAN.H11MO.0.B" "C_SRBP2_HUMAN.H11MO.0.B" 107500 0.16099 13818 0.18745 16433 -0.03801 9.3729e-114 "False" "SREBF2" 99.9126580348047 95.5725771846741 29.4995663899797 74.1506011923974 "NOT_SIG" NA
"315" "STA5A_HUMAN.H11MO.0.A_STA5A_HUMAN.H11MO.0.A" "STA5A_HUMAN.H11MO.0.A" "STA5A_HUMAN.H11MO.0.A" "C_STA5A_HUMAN.H11MO.0.A" 66207 0.09735 4464 0.09996 4200 0.04754 2.57226e-110 "False" "STAT5A" 0.143239309068009 0.33987370287414 29.325169439403 0.1502908915487 "NOT_SIG" NA
"316" "STA5B_HUMAN.H11MO.0.A_STA5B_HUMAN.H11MO.0.A" "STA5B_HUMAN.H11MO.0.A" "STA5B_HUMAN.H11MO.0.A" "C_STA5A_HUMAN.H11MO.0.A" 64912 0.09013 3937 0.09193 3561 0.04426 1.54494e-107 "False" "STAT5B" 26.3499401379566 38.9973432462217 49.0771530521494 52.0332696099714 "NOT_SIG" NA
